"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Weather","0","GET /v1/daily","1","0","days=1 minimum","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — temperature plausible","0"
"0","SMS","0","POST /v1/sms/send","1","0","Missing 'to' returns 400","0"
"0","Weather","0","GET /v1/daily","1","0","days=3","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=3 — days","0"
"0","Weather","0","GET /v1/weather","1","0","ai=false — no summary","0"
"0","SMS","0","GET /v1/sms/health","1","0","Scale or 403","0"
"0","Common","0","Rate Limiting","1","0","No 429 under normal usage","0"
"0","Weather","0","GET /v1/weather-geo","1","0","geo.country 2-letter","0"
"0","Weather","0","GET /v1/weather","1","0","Content type","0"
"0","SMS","0","POST /v1/sms/send","1","0","Schema — response body non-blank on 201","0"
"0","SMS","0","GET /v1/sms/stats","1","0","Schema — delivery stats: sent is non-negative","0"
"0","Weather","0","GET /v1/weather","1","0","lat echoed","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Schema — ip_version","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Schema — active is true on 201","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — daily has 7 entries","0"
"0","Weather","0","GET /v1/current","1","0","London","0"
"0","Account","0","GET /v1/usage","1","0","No auth returns 401","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook has lat and lon","0"
"0","Webhooks","0","DEL /v1/webhooks/:id","1","0","No 5xx on delete attempt","0"
"0","SMS","0","GET /v1/sms/health","1","0","Response body non-empty","0"
"0","Common","0","Authentication","1","0","Missing token","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — current.temperature plausible","0"
"0","Weather","0","GET /v1/weather","1","0","ai=true includes ai_summary","0"
"0","Common","0","Rate Limiting","1","0","Rate limit headers — X-RateLimit-Reset","0"
"0","Webhooks","0","GET /v1/webhooks","1","0","Schema — first webhook has id","0"
"0","Weather","0","GET /v1/weather-geo","1","0","Auto IP detection","0"
"0","Weather","0","GET /v1/forecast14","1","0","Missing coords → 400 or 403","0"
"0","Weather","0","GET /v1/ip-lookup","1","0","Response is JSON","0"
"0","SMS","0","POST /v1/sms/alert","1","0","Schema — response body non-blank on 201","0"
"0","Webhooks","0","DEL /v1/webhooks/:id","1","0","Create then delete","0"
"0","Weather","0","GET /v1/weather — Schema","1","0","days=7 — hourly[0].temp plausible","0"
"0","Weather","0","GET /v1/weather","1","0","units=imperial echoed","0"
"0","Webhooks","0","POST /v1/webhooks","1","0","Schema — id is non-blank on 201","0"
"0","Common","0","Authentication","1","0","Revoked token","0"
"0","SMS","0","POST /v1/sms/send","1","0","Empty payload returns 400","0"
"0","Weather","0","GET /v1/weather","1","0","days echoed","0"
