"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /v1/daily with days=1 returns 200","272","Daily forecast days=1 returns 200","","Thu Aug 20 16:36:27 UTC 2026","passed","Thu Aug 20 16:36:27 UTC 2026","","GET /v1/daily Tests","weather.GetDailyTests","minDays_returns200"
"temperature in −90 to 60","266","[days=3] current.temperature is plausible","","Thu Aug 20 16:36:16 UTC 2026","passed","Thu Aug 20 16:36:16 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_current_temperaturePlausible"
"Omitting the required 'to' field should return 400","82","Missing 'to' returns 400 or 403","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","sendSms_missingTo_returns400"
"GET /v1/daily with days=3 returns 200","284","Daily forecast days=3 returns 200","","Thu Aug 20 16:36:27 UTC 2026","passed","Thu Aug 20 16:36:27 UTC 2026","","GET /v1/daily Tests","weather.GetDailyTests","threeDays_returns200"
"days must equal 3","265","[days=3] days = 3","","Thu Aug 20 16:36:19 UTC 2026","passed","Thu Aug 20 16:36:19 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days3_days_isThree"
"ai=false yields null ai_summary","254","ai=false: ai_summary is null","","Thu Aug 20 16:36:10 UTC 2026","passed","Thu Aug 20 16:36:11 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","aiDisabled_summaryNullOrAbsent"
"GET /v1/sms/health returns 200 on Scale+approved, 403/404 otherwise","16","SMS health returns 200 or 403","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","smsHealth_returns200Or403"
"A single valid request must not trigger rate limiting (429)","356","Single request does not return 429","","Thu Aug 20 16:35:49 UTC 2026","passed","Thu Aug 20 16:35:50 UTC 2026","","Rate Limit Tests","common.RateLimitTests","singleRequest_doesNotReturn429"
"geo.country must be 2-letter ISO code","423","geo.country is 2-letter code","","Thu Aug 20 16:36:22 UTC 2026","passed","Thu Aug 20 16:36:22 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","geo_countryIsTwoLetters"
"Response must be application/json","299","Response is JSON","","Thu Aug 20 16:36:09 UTC 2026","passed","Thu Aug 20 16:36:09 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","response_isJson"
"When 200/201, response body must not be blank","68","Response body is non-blank on 200/201","","Thu Aug 20 16:35:57 UTC 2026","passed","Thu Aug 20 16:35:57 UTC 2026","","Send SMS Tests","sms.SendSmsTests","schema_responseBodyNonBlank"
"When 200, delivery stats must include a non-negative 'sent' count","14","delivery.sent is non-negative on 200","","Thu Aug 20 16:35:58 UTC 2026","passed","Thu Aug 20 16:35:58 UTC 2026","","SMS Stats Tests","sms.SmsStatsTests","schema_delivery_sentNonNegative"
"Response echoes lat","268","lat is echoed","","Thu Aug 20 16:36:10 UTC 2026","passed","Thu Aug 20 16:36:10 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","topLevel_latEchoed"
"When 200, ip_version must be v4 or v6","132","ip_version is v4 or v6 on 200","","Thu Aug 20 16:36:12 UTC 2026","passed","Thu Aug 20 16:36:12 UTC 2026","","GET /v1/ip-lookup Tests","weather.GetIpLookupTests","schema_ipVersionValid"
"When 200/201, newly created webhook must be active=true","69","Created webhook active = true","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Create Webhook Tests","webhooks.CreateWebhookTests","schema_created_activeIsTrue"
"daily array must have 7 entries","271","[days=7] daily has 7 entries","","Thu Aug 20 16:36:15 UTC 2026","passed","Thu Aug 20 16:36:15 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_daily_hasSevenEntries"
"GET /v1/current for London returns 200","270","London current weather returns 200","","Thu Aug 20 16:36:28 UTC 2026","passed","Thu Aug 20 16:36:28 UTC 2026","","GET /v1/current Tests","weather.GetCurrentTests","london_returns200"
"GET /v1/usage without Authorization header must return 401","90","No auth returns 401","","Thu Aug 20 16:35:59 UTC 2026","passed","Thu Aug 20 16:35:59 UTC 2026","","Usage & Quota Tests","account.UsageTests","usage_noAuth_returns401"
"When 200 and list is non-empty, webhooks[0].lat and lon must be valid coordinates","16","webhooks[0].lat and lon are valid coordinates on 200","","Thu Aug 20 16:35:54 UTC 2026","passed","Thu Aug 20 16:35:54 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_coordsValid"
"A delete attempt must not return a server error","63","Delete webhook does not return 5xx","","Thu Aug 20 16:35:53 UTC 2026","passed","Thu Aug 20 16:35:53 UTC 2026","","Delete Webhook Tests","webhooks.DeleteWebhookTests","deleteWebhook_no5xx"
"GET /v1/sms/health response body must not be blank","15","SMS health response body is non-empty","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","SMS Gateway Health Tests","sms.SmsHealthTests","smsHealth_bodyNotEmpty"
"A request without an Authorization header should return 401","72","No Authorization header returns 401","","Thu Aug 20 16:35:51 UTC 2026","passed","Thu Aug 20 16:35:51 UTC 2026","","Authentication Tests","common.AuthenticationTests","noAuthHeader_returns401"
"temperature in −90 to 60","257","[days=7] current.temperature is plausible","","Thu Aug 20 16:36:16 UTC 2026","passed","Thu Aug 20 16:36:16 UTC 2026","","Weather Response Schema Tests","weather.WeatherSchemaTests","days7_current_temperaturePlausible"
"ai=true includes ai_summary key","275","ai=true includes ai_summary","","Thu Aug 20 16:36:11 UTC 2026","passed","Thu Aug 20 16:36:11 UTC 2026","","GET /v1/weather Tests","weather.GetWeatherTests","aiEnabled_summaryKeyPresent"
"Documented: X-RateLimit-Reset header should be present. Observed: header is currently absent on weather endpoints.","434","X-RateLimit-Reset header presence (documented contract)","","Thu Aug 20 16:35:48 UTC 2026","passed","Thu Aug 20 16:35:49 UTC 2026","","Rate Limit Tests","common.RateLimitTests","rateLimitReset_headerPresenceDocumented"
"When 200 and list is non-empty, webhooks[0].id must be non-blank","15","webhooks[0].id is non-blank on 200","","Thu Aug 20 16:35:55 UTC 2026","passed","Thu Aug 20 16:35:55 UTC 2026","","Get Webhooks Tests","webhooks.GetWebhookTests","schema_firstWebhook_idNonBlank"
"No params — API auto-detects location from caller IP","334","weather-geo auto-detect returns 200","","Thu Aug 20 16:36:22 UTC 2026","passed","Thu Aug 20 16:36:23 UTC 2026","","GET /v1/weather-geo Tests","weather.GetWeatherGeoTests","autoDetect_returns200"
